,name,id,date,star,content
0,손*훈,130257492,2022.10.08,5,
1,K*a,111426922,2022.10.08,5,
2,차*민,125191850,2022.10.08,5,
3,유*수,111040326,2022.10.08,5,
4,박*일,141989062,2022.10.08,5,
5,계*봉,124153732,2022.10.08,5,
6,박*아,139445274,2022.10.08,4,
7,전*련,108619439,2022.10.08,5,사실 전자기기나 고가의 상품은 인터넷 주문하기 꺼려졌는데괜한 걱정이었네요.빠른배송 저렴한 가격!그리고 혹시 제품에 문제가 있어도 반품이 수월하게 이루어져서믿고사는 쿠팡입니다..ㅋㅋㅋㅋ
8,한*호,124055758,2022.10.08,5,
9,권*은,131677052,2022.10.08,5,
10,정*리,897964,2022.10.08,5,
11,김*준,142262365,2022.10.08,5,
12,송*석,128179520,2022.10.08,5,
13,송*석,128179520,2022.10.08,5,
14,S*k,114458715,2022.10.08,5,
15,신*애,120121096,2022.10.08,5,예쁘고 사용 편해요. 귀도 안아프고 충전도 빨라요.
16,김*윤,115193542,2022.10.07,5,
17,양*림,116460099,2022.10.07,5,
18,황*진,21837333,2022.10.07,5,
19,이*환,127298016,2022.10.07,3,
20,김*성,123206124,2022.10.07,4,
21,권*재,141969511,2022.10.07,5,
22,류*선,141666571,2022.10.07,5,
23,임*균,3715994,2022.10.07,5,
24,박*열,148690995,2022.10.07,5,
25,송*호,125574072,2022.10.07,5,
26,송*주,105519795,2022.10.07,5,
27,김*연,110703583,2022.10.07,5,다음날 바로 배송되서 참 좋았어요.
28,배*옥,4859753,2022.10.07,5,
29,조*희,104786203,2022.10.07,5,
30,송*영,148669406,2022.10.07,4,디자인 이뻐서 만족해요 단 가격은 빘네요
31,이*형,149018070,2022.10.07,5,
32,S*A,147920058,2022.10.07,5,
33,김*란,147601027,2022.10.07,5,
34,김*경,75825286,2022.10.07,5,
35,이*숙,21054985,2022.10.07,5,
36,허*만,19991027,2022.10.07,5,
37,윤지호,120421468,2022.10.07,5,
38,강*정,131065462,2022.10.07,5,
39,윤*하,147783313,2022.10.07,5,
40,양땅콩,111386810,2022.10.06,5,"✔️주문/배송일 : 22.09.27 주문 ➡️ 22.09.28 도착✔️할인율 : 저는 9/27 주문일 기준으로 애플 공홈 정가에서 약 17% 할인된 금액으로 구매했습니다. 쿠팡에서 구매하시는 분들은 기본 할인이 된 기준 가격에서 할인이 조금 더 들어가있도록 나와 있습니다. 가격변동이 크게 있는 것 같지는 않더라구요~✔️상품구성 : 에어팟 2세대 유선충전 모델의 상품 구성이 다양하게 있지는 않습니다! 1️⃣에어팟 2세대 본품 2️⃣라이트닝 USB케이블 3️⃣각종 종이조각과 사과스티커 가 박스에 담겨져 있습니다.✔️개인적 견해 : 저는 에어팟프로 1세대를 사용하고 있어요! 2021년 1월에 구매했는데 아직까지 너~무 잘 사용하고 있습니다. 에어팟 2세대 모델을 구매하게 된 이유는 형! 이 이전에 사용했던 에어팟 2세대를 잃어버려가지구,,, 다시 재구매 한 거예요! 같은 모델을 재구매한 데에는 이유가 정말 있는건데요! 에어팟 3세대도 있고 에어팟프로 라인도 있는데 형은 에어팟 2세대가 끌렸나봐요! 그래서 형한테 전에 2세대를 사용했는데 다시 똑같은 모델을 구매하게된 이유가 뭐냐!? 라고 물어봤습니다!!1. ★가격 메리트!★ 10만원대로 애플 에어팟을 구매할 수 있다는 게 가장 좋다고 하더라구요~ 에어팟 2세대를 사용하면서 불편함을 하나도 못 느꼈는데 더 비싼 제품을 구매할 이유가 없다고 해요! 정말로,, 이제 에어팟 구매하려면 10만원대에서는 2세대 말고는 정말 찾을 수 없잖아요,, 이제는 줄 이어폰은 갬성용으로만 남아있고 대부분 블루투스 이어폰과 함께 하는데 20만원 이상으로 투자해서 구매하고 싶지는 않대요!!근데 저도 에어팟 프로를 사용하기 전에 에어팟 1세대를 사용했었는데, 프로를 사용해보지 않았다면 1세대 만으로도 충분히 만족했을 거예요!!2. ★컴팩트한 사이즈!★ 크기도 손에 딱 들어오는 앙증맞은 사이즈잖아요~ 주머니에 넣어도 부담없고, 투명 케이스 같은 거 착용해도 가방 어디에 넣고 다니기 부담스럽지 않은 크기 입니다!!3. ★통화가 더 잘되는 것 같은 느낌..?★ 이거는 제가 개인적으로 느끼는 건데요~ 에어팟1,2가 에어팟프로 보다 콩나물 길이가 길어서인지 훨씬 더 목소리 전달이 잘되는 것 같아요, 전화할때요! 에어팟 프로를 사용하면서 전화를 할때면 상대방이 제 목소리가 잘 안들린다고 하더라구요..? 저도 친구가 에어팟프로로 전화하면 동일하게 느꼈던 부분이구요! 그런데 에어팟1,2세대를 사용하면서는 잘 안들린다고는 못 느꼈던 것 같습니다.4. ★귀에 부담이 없다!★ 형은 이것도 편하다고 했어요! 오픈형이 훨씬 형 귀에 맞다고 하더라구요~ 에어팟 프로를 몇번 착용해봤었는데 원래 그 고무 껴있는 걸 좋아하지 않지만 노이즈캔슬링이 되면 먹먹한 느낌이나 귀에 아주 꽉 끼는 게 좀 어색하고 불편하다고 하더라구요? 그럼 주변음 허용모드로 사용해도 되지만 그걸 위해서 구매하기에,, 프로는 굳이…? 라고 해요!!그래도 에어팟 2세대가 꾸준히 나오나봐요! 제조가 2022년 6월 입니다~✔️재구매의사 : 형이 또 잃어버린다면… 재구매하지 않을까요?!ㅎㅎㅎㅎ"
41,박*하,125673725,2022.10.06,5,출근하기전에 주문했는데 퇴근하고 보니까 배송완료 ㄷㄷ 물건상태도 굿
42,배*진,120459506,2022.10.06,5,
43,임*예,111915943,2022.10.06,5,
44,이*주,109722374,2022.10.06,5,
45,김*연,148998840,2022.10.06,5,
46,송*애,4410195,2022.10.06,5,
47,H*I,115529932,2022.10.06,5,
48,신*화,127656943,2022.10.06,5,
49,CHAIEUN,112250669,2022.10.06,4,
